iter	R2	RMSE
697	0.9605254584	0.07933620192
698	0.9605264038	0.07933525184
699	0.9605274842	0.07933416609
700	0.9605678942	0.07929354658
701	0.9605897862	0.0792715323
702	0.9606344151	0.07922663529
703	0.960695842	0.07916479764
704	0.9607121352	0.07914838742
705	0.9607335801	0.07912678332
706	0.9608053419	0.07905444565
707	0.9608489554	0.07901044985
708	0.9608776459	0.07898149457
709	0.9609546543	0.07890372271
710	0.9609549365	0.07890343752
711	0.9609929235	0.07886504553
712	0.9609941904	0.07886376483
713	0.9610376775	0.07881979051
714	0.9610896351	0.07876721845
715	0.9611255956	0.07873081221
716	0.961126565	0.07872983056
717	0.9612320585	0.07862293073
718	0.9612369488	0.0786179717
719	0.9612807947	0.07857349567
720	0.9612903966	0.0785637525
721	0.961294305	0.0785597862
722	0.9613032875	0.07855066993
723	0.9613059156	0.0785480024
724	0.9613091348	0.07854473494
725	0.9613093912	0.07854447467
726	0.9613635704	0.07848946171
727	0.9614023463	0.07845006543
728	0.9614453098	0.07840639145
729	0.961478459	0.07837267747
730	0.9615122588	0.07833828681
731	0.9615513583	0.07829848492
732	0.9615519214	0.07829791152
733	0.9616117895	0.07823692841
734	0.9616167806	0.07823184219
735	0.9616566593	0.07819119163
736	0.9617082439	0.07813857727
737	0.9617479983	0.07809800517
738	0.9617561105	0.07808972348
739	0.9617826684	0.07806260465
740	0.9618124858	0.07803214622
741	0.9618547255	0.07798897811
742	0.9618607982	0.07798277003
743	0.9618899083	0.07795300379
744	0.9619565731	0.07788479355
745	0.9620071037	0.07783305172
746	0.9621032963	0.07773445813
747	0.9621270714	0.07771007037
748	0.9621324675	0.07770453411
749	0.9621367503	0.0777001398
750	0.9622281797	0.07760627087
751	0.9622985668	0.07753392821
752	0.962328417	0.07750322825
753	0.9624239779	0.07740486528
754	0.9624322286	0.07739636671
755	0.9624993561	0.07732718848
756	0.9625508969	0.077274031
757	0.962584536	0.07723931706
758	0.9625879233	0.0772358207
759	0.9626552852	0.07716625632
760	0.9627400921	0.07707858726
761	0.9627911921	0.07702571458
762	0.9628298385	0.07698570333
763	0.9628396725	0.07697551872
764	0.9628456462	0.07696933136
765	0.9629507695	0.07686036696
766	0.9630415783	0.07676611564
767	0.9630968449	0.0767086972
768	0.9631408632	0.07666293431
769	0.9631687054	0.07663397444
770	0.9631875107	0.0766144081
771	0.9631916365	0.07661011468
772	0.963257792	0.0765412382
773	0.963272855	0.07652554697
774	0.9632804257	0.07651765937
775	0.9633256463	0.07647052863
776	0.9633320125	0.07646389117
777	0.9633645347	0.07642997434
778	0.9633897028	0.07640371658
779	0.9633922149	0.07640109525
780	0.9633982861	0.07639475965
781	0.9634019248	0.07639096216
782	0.9634389684	0.07635229192
783	0.9634908684	0.07629807995
784	0.9635166601	0.07627112496
785	0.9635534908	0.07623261663
786	0.9635880748	0.07619643963
787	0.9636222524	0.07616067072
788	0.9636245724	0.07615824215
789	0.9636269728	0.07615572926
790	0.963693709	0.07608583296
791	0.9637051564	0.07607383709
792	0.9637152097	0.07606330056
793	0.9637726583	0.0760030623
794	0.9637883101	0.07598664221
795	0.9638508046	0.07592104468
796	0.9638852034	0.07588491369
797	0.9639345743	0.07583302652
798	0.9639661893	0.07579978152
799	0.9640507915	0.07571074581
800	0.9641127666	0.07564545638
